# PHCEP: Photonic Heterogeneous Compute Emulation Platform
# Experimental Photodiode Characterization Data
# Test Date: 2025-11-08 17:24:44
# Test Protocol: Discrete Photodiode Characterization
# Units: SI base units unless otherwise specified
#
test_type,wavelength_nm,optical_power_W,voltage_V,temperature_K,responsivity_A_W,quantum_efficiency,photocurrent_A,dark_current_A,shot_noise_A,thermal_noise_A,total_noise_A,signal_to_noise_ratio
wavelength_sweep,400.0,0.001,5,293,0.0005293194552080444,0.001640886015793553,5.292985341126854e-07,1.5e-12,4.118108929225943e-10,4.021641455923191e-12,4.1183052962317456e-10,1285.237484935844
wavelength_sweep,426.53061224489795,0.001,5,293,0.00107651063810581,0.0031295988110533616,1.0764680895437021e-06,1.5e-12,5.872830127713572e-10,4.021641455923191e-12,5.872967824616461e-10,1832.9226750258958
wavelength_sweep,453.0612244897959,0.001,5,293,0.0021054786995016177,0.005762547337965495,2.1053954814747436e-06,1.5e-12,8.213219061150797e-10,4.021641455923191e-12,8.213317521346096e-10,2563.3941169361806
wavelength_sweep,479.59183673469386,0.001,5,293,0.003961933315453312,0.010243678216882999,3.961776721955976e-06,1.5e-12,1.1266562132765677e-09,4.021641455923191e-12,1.1266633909534358e-09,3516.38142657971
wavelength_sweep,506.1224489795918,0.001,5,293,0.007175430879115043,0.017579759635251553,7.1751472736813355e-06,1.5e-12,1.5162183707129721e-09,4.021641455923191e-12,1.5162237042361196e-09,4732.249438941602
wavelength_sweep,532.6530612244898,0.001,5,293,0.012511500584579647,0.029126313622607373,1.2511006073572656e-05,1.5e-12,2.0021306918312496e-09,4.021641455923191e-12,2.00213473092414e-09,6248.833997199508
wavelength_sweep,559.1836734693877,0.001,5,293,0.021009108716873993,0.046587960004146174,2.100827834201709e-05,1.5e-12,2.5944273630191066e-09,4.021641455923191e-12,2.594430480005636e-09,8097.453373262657
wavelength_sweep,585.7142857142858,0.001,5,293,0.03398151353265927,0.07194116228029082,3.398017042977864e-05,1.5e-12,3.299582938327369e-09,4.021641455923191e-12,3.299585389181658e-09,10298.315673596246
wavelength_sweep,612.2448979591836,0.001,5,293,0.052954322501206574,0.10724987375751709,5.2952229507231346e-05,1.5e-12,4.118967746331224e-09,4.021641455923191e-12,4.118969709638191e-09,12855.698084723876
wavelength_sweep,638.7755102040817,0.001,5,293,0.07951689662756864,0.15435891347713587,7.951375376070321e-05,1.5e-12,5.0473961273243955e-09,4.021641455923191e-12,5.047397729496785e-09,15753.41582376758
wavelength_sweep,665.3061224489795,0.001,5,293,0.11507558505738574,0.21447773758216174,0.00011507103675056499,1.5e-12,6.071965179089964e-09,4.021641455923191e-12,6.071966510915637e-09,18951.197778133424
wavelength_sweep,691.8367346938776,0.001,5,293,0.16052082393054334,0.28770559678443614,0.00016051447942264454,1.5e-12,7.171390392958349e-09,4.021641455923191e-12,7.171391520605699e-09,22382.612978448487
wavelength_sweep,718.3673469387755,0.001,5,293,0.21585197149805824,0.3725889618383507,0.00021584344005332347,1.5e-12,8.316023037142504e-09,4.021641455923191e-12,8.316024009578426e-09,25955.124865526388
wavelength_sweep,744.8979591836735,0.001,5,293,0.2798359317546217,0.4658297727444924,0.000279824871374816,1.5e-12,9.468679408961477e-09,4.021641455923191e-12,9.46868026301929e-09,29552.67947611401
wavelength_sweep,771.4285714285714,0.001,5,293,0.3497963352955725,0.5622637485988622,0.00034978250976466687,1.5e-12,1.058632689320518e-08,4.021641455923191e-12,1.058632765709617e-08,33040.96780248461
wavelength_sweep,797.9591836734694,0.001,5,293,0.42162721697362826,0.6551918834529088,0.0004216105523618792,1.5e-12,1.1622565204719055e-08,4.021641455923191e-12,1.1622565900503472e-08,36275.169998701895
wavelength_sweep,824.4897959183673,0.001,5,293,0.4900915946101641,0.7370764192788166,0.000490072223977015,1.5e-12,1.2530727892801582e-08,4.021641455923191e-12,1.2530728538159126e-08,39109.635484052305
wavelength_sweep,851.0204081632653,0.001,5,293,0.549403644834479,0.8005198579578328,0.0005493819299212427,1.5e-12,1.32673272104055e-08,4.021641455923191e-12,1.3267327819932926e-08,41408.63472114162
wavelength_sweep,877.5510204081633,0.001,5,293,0.5940173264420132,0.8393580994292195,0.0005939938481945974,1.5e-12,1.3795493101833982e-08,4.021641455923191e-12,1.3795493688025413e-08,43057.09263672008
wavelength_sweep,904.0816326530612,0.001,5,293,0.6194769378752407,0.8496460545543554,0.0006194524533490015,1.5e-12,1.408802920973051e-08,4.021641455923191e-12,1.4088029783749752e-08,43970.126721589346
wavelength_sweep,930.6122448979592,0.001,5,293,0.6231500045249897,0.8303178763638397,0.0006231253748225683,1.5e-12,1.412973358044485e-08,4.021641455923191e-12,1.4129734152769854e-08,44100.29018135609
wavelength_sweep,957.1428571428571,0.001,5,293,0.6046757184975969,0.7833688802030662,0.0006046518189823921,1.5e-12,1.3918708408582975e-08,4.021641455923191e-12,1.3918708989585148e-08,43441.65977856355
wavelength_sweep,983.6734693877551,0.001,5,293,0.5660232038293564,0.7135161792118218,0.000566000832036092,1.5e-12,1.3466501681786695e-08,4.021641455923191e-12,1.346650228229899e-08,42030.277920055785
wavelength_sweep,1010.204081632653,0.001,5,293,0.511146616001434,0.6274179210054873,0.0005111264131787517,1.5e-12,1.2797066216272856e-08,4.021641455923191e-12,1.279706684819893e-08,39940.903704092794
wavelength_sweep,1036.734693877551,0.001,5,293,0.4453204927179418,0.5326299667084569,0.00044530289164093276,1.5e-12,1.194466606661546e-08,4.021641455923191e-12,1.1944666743637298e-08,37280.47861847107
wavelength_sweep,1063.2653061224491,0.001,5,293,0.3743095892109814,0.4365257409995225,0.0003742947948055753,1.5e-12,1.095098412093207e-08,4.021641455923191e-12,1.0950984859386224e-08,34179.09905927435
