# PHCEP: Photonic Heterogeneous Compute Emulation Platform
# Z80 Optical Interface Characterization Data
# Test Date: 2025-11-08 17:26:20
# Test Protocol: Z80 Microprocessor Optical Interface Validation
# Units: SI base units unless otherwise specified
#
test_type,pattern_name,clock_frequency_hz,temperature_k,supply_voltage_v,bit_error_rate,average_optical_power_mw,extinction_ratio_db,signal_to_noise_ratio_db,timing_margin_s,hold_margin_s,timing_compatible,data_throughput_mbps,q_factor
data_pattern,PRBS7,4000000.0,293,5.0,0.0,0.5570312499999999,10.0,73.00895008039483,1.525e-07,2e-08,True,32.0,4499.912111949837
data_pattern,PRBS15,4000000.0,293,5.0,0.0,0.426953125,10.0,72.69196070785324,1.525e-07,2e-08,True,32.0,4499.912111949837
data_pattern,All_Ones,4000000.0,293,5.0,0.0,1.0,10.0,30.0,1.525e-07,2e-08,True,32.0,4499.912111949837
data_pattern,All_Zeros,4000000.0,293,5.0,0.0,0.10000000000000002,10.0,30.0,1.525e-07,2e-08,True,32.0,4499.912111949837
data_pattern,Alternating,4000000.0,293,5.0,0.0,0.5499999999999999,10.0,72.2564065230346,1.525e-07,2e-08,True,32.0,4499.912111949837
data_pattern,Walking_One,4000000.0,293,5.0,0.0,0.21250000000000005,10.0,69.09023314962342,1.525e-07,2e-08,True,32.0,4499.912111949837
data_pattern,Walking_Zero,4000000.0,293,5.0,0.0,0.8875,10.0,68.98039901215715,1.525e-07,2e-08,True,32.0,4499.912111949837
clock_frequency,PRBS7,1000000.0,293,5.0,0.0,0.5570312499999999,10.0,73.00895008039483,6.4e-07,9.499999999999999e-08,True,8.0,4499.912111949837
clock_frequency,PRBS7,2000000.0,293,5.0,0.0,0.5570312499999999,10.0,73.00895008039483,3.15e-07,4.5e-08,True,16.0,4499.912111949837
clock_frequency,PRBS7,4000000.0,293,5.0,0.0,0.5570312499999999,10.0,73.00895008039483,1.525e-07,2e-08,True,32.0,4499.912111949837
clock_frequency,PRBS7,6000000.0,293,5.0,0.0,0.5570312499999999,10.0,73.00895008039483,9.833333333333334e-08,1.1666666666666667e-08,True,48.0,4499.912111949837
clock_frequency,PRBS7,8000000.0,293,5.0,0.0,0.5570312499999999,10.0,73.00895008039483,7.125e-08,7.5e-09,True,64.0,4499.912111949837
temperature_variation,PRBS7,4000000.0,273,5.0,0.0,0.5570312499999999,10.0,73.00895008039483,1.4274999999999998e-07,1.85e-08,True,32.0,4499.912111949837
temperature_variation,PRBS7,4000000.0,293,5.0,0.0,0.5570312499999999,10.0,73.00895008039483,1.525e-07,2e-08,True,32.0,4499.912111949837
temperature_variation,PRBS7,4000000.0,313,5.0,0.0,0.5570312499999999,10.0,73.00895008039483,1.6225000000000001e-07,2.15e-08,True,32.0,4499.912111949837
temperature_variation,PRBS7,4000000.0,333,5.0,0.0,0.5570312499999999,10.0,73.00895008039483,1.72e-07,2.3e-08,True,32.0,4499.912111949837
